211,224,241,280,262,308,303,350,320,385,390
902,615,973,883,694,1080,929,936,987,983,828
522,461,528,476,379,493,534,524,587,503,515
750,746,762,783,628,593,789,721,850,853,1042
44,24,28,35,19,38,42,47,62,70,63
91,75,118,141,117,140,131,162,199,218,176
576,648,704,696,755,847,711,877,830,768,666
435,262,484,458,375,479,430,421,447,467,478
121,67,129,114,102,138,157,166,167,184,159
807,594,851,696,644,903,893,979,1035,939,1093
61,44,57,63,55,58,49,42,50,44,52
588,379,492,511,449,525,558,600,551,653,622
747,513,694,732,536,751,905,829,969,748,994
582,379,598,537,478,589,693,669,759,811,867
1067,647,1349,1089,807,1331,1251,1065,906,907,756
0,0,0,0,0,0,0,3,110,317,409
105,48,85,75,84,86,114,108,95,111,134
134,91,141,176,116,150,135,130,154,183,167
119,83,135,121,105,166,122,129,121,150,153
387,242,376,339,325,391,324,352,379,426,462
624,459,605,702,534,664,773,841,881,857,958
308,256,373,337,305,332,371,402,397,429,453
225,187,234,230,220,234,189,180,218,218,194
370,276,420,469,377,526,515,439,666,508,545
53,33,29,35,31,36,21,25,23,22,35
89,50,77,61,48,84,88,104,88,80,74
84,52,34,25,45,37,42,46,20,0,0
0,0,0,0,0,0,0,0,0,11,0
222,175,177,213,209,231,237,251,246,238,220
41,24,34,37,29,31,36,40,36,25,41
457,310,488,469,409,602,503,569,583,548,574
243,163,253,263,154,213,248,304,265,268,233
547,518,616,534,534,552,526,535,490,472,465
176,196,349,141,227,226,247,241,291,249,318
593,418,690,682,586,772,730,782,800,751,884
1130,843,1422,1342,1225,1396,1335,1305,1448,1615,1572
1088,782,993,955,856,1092,965,1015,1052,1031,1041
771,463,774,784,691,870,1025,903,1168,1204,1047
1031,871,1181,1047,1032,1223,1145,1312,1366,1436,1537
360,290,453,453,364,465,478,437,467,521,506
28,24,27,32,34,43,44,35,25,31,21
247,229,290,325,254,384,322,297,380,417,379
334,227,346,302,349,382,328,352,397,508,407
1077,644,1141,1053,705,1167,1074,857,1236,997,908
1250,756,1440,1218,1072,1239,1239,1376,1500,1385,1580
158,118,255,207,161,259,246,220,222,281,272
728,512,755,738,574,803,980,885,888,806,911
590,432,746,611,549,732,771,783,843,798,768
679,764,1154,475,665,689,763,749,718,750,764
286,228,332,365,333,441,477,468,572,582,600
303,223,334,256,190,303,366,357,401,342,423
354,259,497,447,413,526,624,689,687,647,703
0,1,0,0,0,0,0,0,0,0,0
47,36,50,53,40,38,40,42,43,49,26
311,170,229,256,221,230,232,233,236,235,235
429,317,414,404,372,437,489,499,514,562,497
26,29,28,17,26,18,20,19,22,29,24
790,813,1057,763,773,929,941,1104,1109,1090,1242
434,300,378,409,308,350,508,395,559,530,508
374,302,382,321,306,382,460,437,511,484,451
0,0,0,0,0,0,1,0,21,0,0
251,176,226,276,180,298,368,389,371,368,340
857,723,845,927,696,979,1080,1097,1098,1024,1052
165,133,104,110,113,122,162,148,161,198,157
175,123,170,150,122,156,213,182,186,233,211
566,216,480,590,428,609,681,652,731,735,722
276,195,225,324,302,377,364,412,382,452,431
88,72,106,90,84,96,95,102,123,107,99
392,259,468,448,320,502,491,507,606,592,522
100,76,86,118,81,116,89,110,124,129,122
376,395,718,457,605,719,716,762,757,737,673
279,188,299,270,230,322,307,274,339,323,322
718,530,781,743,535,817,800,862,893,892,751
216,135,257,272,204,295,313,279,326,348,310
845,706,885,918,736,915,936,1004,905,889,991
0,0,0,8,38,93,117,108,143,166,138
1258,759,1350,1180,946,1333,1402,1264,1447,1354,1409
390,293,517,395,330,426,405,446,520,515,497
198,155,219,230,218,225,243,276,293,264,259
0,0,0,0,54,180,241,243,306,272,352
442,306,439,399,403,508,487,541,536,548,577
1303,860,1695,1424,1207,1349,1451,1474,1402,1316,1356
179,152,200,235,178,264,247,274,262,257,306
11,7,15,12,12,14,14,12,9,5,12
770,754,1374,848,1077,1131,1250,1144,1064,1131,1014
1222,808,1278,1225,903,1257,1380,1153,1340,1420,1519
105,87,131,110,108,128,141,130,171,165,220
0,0,0,0,1,0,0,0,0,0,0
510,365,609,652,405,759,756,612,814,510,419
465,292,529,434,387,479,585,532,670,671,670
964,649,1157,1026,558,740,733,715,720,701,732
660,498,734,683,575,832,698,710,778,761,788
811,551,1089,807,799,888,833,888,952,904,889
392,224,343,338,197,342,387,445,441,454,411
234,272,407,234,270,293,331,364,361,378,374
2,0,2,7,5,2,2,1,1,4,1
562,727,1040,495,598,751,681,842,830,803,856
167,261,339,150,221,270,247,307,283,309,399
0,0,0,29,99,31,0,0,0,0,0
828,601,802,800,610,789,789,747,804,819,709
256,197,361,303,265,323,306,318,315,270,291
549,363,715,600,538,676,755,819,865,681,738
442,351,499,531,461,487,537,587,508,499,511
1011,780,1054,1100,854,1022,1195,1167,1081,1172,1122
758,581,894,801,722,925,802,863,853,840,825
368,285,501,438,340,486,570,646,713,619,611
353,302,337,352,315,337,319,282,294,298,297
958,724,957,900,759,1074,944,1000,1024,1063,970
352,229,406,373,326,470,408,471,449,518,510
374,289,365,377,310,435,351,398,365,398,372
449,576,925,446,603,597,611,737,703,633,639
72,71,106,104,101,129,141,150,179,155,173
492,444,587,625,544,614,733,662,662,711,717
321,190,335,298,198,278,308,316,305,289,324
27,30,79,118,51,118,138,109,199,135,163
136,78,74,62,47,91,90,58,88,71,98
205,141,158,179,137,169,248,220,293,338,319
483,328,586,469,406,520,468,463,480,438,467
0,4,73,79,73,136,96,114,117,118,115
281,244,226,245,200,267,246,246,262,301,285
